name,yomi,lat,lon,lastchar
岩尾村,いわおむら,43.767328,141.37351,尾
阿分村,あふんむら,43.83189,141.633698,分
苫前村,とままえむら,44.337388,141.695789,前
焼尻村,やぎしりむら,44.436901,141.406815,尻
南富良野村,みなみふらのむら,,,野
下富良野村,しもふらのむら,43.331537,142.430316,野
山部村,やまべむら,,,部
東山村,ひがしやまむら,43.23121,142.48101,山
上富良野村,かみふらのむら,,,野
中富良野村,なかふらのむら,,,野
旭川村,あさひかわむら,43.77111,142.349274,川
神居村,かむいむら,43.7625,142.316959,居
永山村,ながやまむら,43.788111,142.408165,山
東旭川村,ひがしあさひかわむら,43.750725,142.420071,川
宮下通,みやしたどおり,43.767162,142.348679,通
一条通,いちじようどおり,43.768414,142.349152,通
二条通,にじようどおり,43.76952,142.349777,通
三条通,さんじようどおり,43.770645,142.350418,通
四条通,よじようどおり,43.771904,142.350952,通
五条通,ごじようどおり,43.773155,142.35173,通
六条通,ろくじようどおり,43.773907,142.352295,通
七条通,ななじようどおり,43.774693,142.352554,通
八条通,はちじようどおり,43.775494,142.353195,通
九条通,くじようどおり,43.7771,142.354111,通
十条通,じゆうじようどおり,43.77494,142.368774,通
常盤通,ときわどおり,43.776009,142.360855,通
本町,もとまち,43.779041,142.357727,本
北門町,ほくもんちよう,43.786915,142.346191,門
南一条通,みなみいちじようどおり,43.757973,142.376938,通
南二条通,みなみにじようどおり,43.756939,142.376328,通
南三条通,みなみさんじようどおり,43.755802,142.375687,通
南四条通,みなみよじようどおり,43.754601,142.375,通
南五条通,みなみごじようどおり,43.753304,142.374313,通
南六条通,みなみろくじようどおり,43.754112,142.368546,通
南七条通,みなみななじようどおり,43.752655,142.368942,通
南八条通,みなみはちじようどおり,43.750923,142.370743,通
宮前通東,みやまえどおりひがし,43.754707,142.367584,東
宮前通西,みやまえどおりにし,43.760761,142.360123,西
旭神町,きよくしんちよう,43.730366,142.395126,神
豊岡町,とよおかちよう,43.766789,142.396867,岡
東町,ひがしまち,43.7539,142.394976,東
曙北一条,あけぼのきたいちじよう,43.772057,142.341075,条
曙一条,あけぼのいちじよう,43.770308,142.343014,条
曙二条,あけぼのにじよう,43.769475,142.341062,条
曙三条,あけぼのさんじよう,43.767548,142.342588,条
亀吉町,かめきちちよう,43.775058,142.336502,吉
新町一条,しんまちいちじよう,43.773962,142.347241,条
新町二条,しんまちにじよう,43.774701,142.347632,条
新町三条,しんまちさんじよう,43.775465,142.34812,条
新町四条,しんまちよじよう,43.776434,142.348685,条
新町五条,しんまちごじよう,43.777662,142.350109,条
パルプ町一条,ぱるぷちよういちじよう,43.772984,142.38501,条
パルプ町二条,ぱるぷちようにじよう,43.774075,142.386627,条
パルプ町三条,ぱるぷちようさんじよう,43.78125,142.39212,条
永山通,ながやまどおり,43.772655,142.381729,通
新富町,しんとみちよう,43.789413,142.38552,富
東一条,ひがしいちじよう,43.778981,142.370518,条
東二条,ひがしにじよう,43.778575,142.371761,条
東三条,ひがしさんじよう,43.782889,142.374498,条
東四条,ひがしよじよう,43.781903,142.376999,条
東五条,ひがしごじよう,43.781425,142.37851,条
東六条,ひがしろくじよう,43.780376,142.379607,条
東七条,ひがしななじよう,43.780019,142.381071,条
東八条,ひがしはちじよう,43.77877,142.382657,条
東川村,ひがしかわむら,43.693491,142.543283,川
上川村,かみかわむら,43.832795,142.815397,川
剣淵村,けんぶちむら,,,淵
朝日村,あさひむら,44.077559,142.688436,日
下川村,しもかわむら,44.30293,142.655814,川
中川村,なかがわむら,44.74964,142.080287,川
稚内村,わつかないむら,45.402013,141.687599,内
宗谷村,そうやむら,45.276832,141.887563,谷
泊内村,とまりないむら,45.444754,142.011154,内
豊富村,とよとみむら,45.155402,141.74705,富
鬼脇村,おにわきむら,45.134691,141.28068,脇
石崎村,いしざきむら,45.18012,141.299133,崎
神崎村,かんざきむら,45.391636,141.001556,崎
幌内村,ほろないむら,44.588145,142.779797,内
沢木村,さわきむら,44.509416,142.914037,木
興部村,おこつぺむら,44.420771,143.044891,部
沙留村,さるるむら,44.397441,143.212769,留
滝上村,たきのうえむら,44.182638,143.087951,上
生田原村,いくたはらむら,43.925097,143.505135,原
