年次	発空港	稚内	釧路	函館	旭川	利尻	帯広	中標津	紋別	女満別	奥尻	新千歳	丘珠	青森	三沢	花巻	仙台	秋田	大館	山形	庄内	福島	百里	成田	羽田	大島	三宅島	八丈島	調布	新島	神津島	青ヶ島	御蔵島	利島	新潟	佐渡	富山	小松	能登	松本	静岡	名古屋	中部	大阪	関西	神戸	但馬	南紀白浜	鳥取	美保	隠岐	出雲	石見	岡山	広島	広島西	山口宇部	岩国	徳島	高松	松山	高知	福岡	北九州	佐賀	長崎	福江	壱岐	対馬	上五島	小値賀	熊本	天草	大分	宮崎	鹿児島	種子島	屋久島	奄美	喜界島	沖永良部	与論	徳之島	那覇	南大東島	久米島	宮古島	石垣	与那国	多良間	北大東島	波照間	粟国	下地島	慶良間
2015年	百里	***	***	***	***	***	***	***	***	***	***	60356	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	70073	***	***	***	286	***	***	***	***	***	***	***	***	***	***	***	***	55439	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	6046	***	***	***	***	***	***	***	***	***	***	***
2014年	百里	***	***	***	***	***	***	***	***	***	***	72258	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	7440	***	***	61438	***	***	***	7406	***	***	***	***	***	***	***	***	***	***	***	***	45424	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	8737	***	***	***	***	***	***	***	***	***	***	***
2013年	百里	***	***	***	***	***	***	***	***	***	***	57849	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	70153	***	***	***	419	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	15752	***	***	***	***	***	***	***	***	***	***	***
2012年	百里	***	***	***	***	***	***	***	***	***	***	75326	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	66441	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	8202	***	***	***	***	***	***	***	***	***	***	***
2011年	百里	***	***	***	***	***	***	***	***	***	***	63653	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	8035	***	***	38878	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2010年	百里	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	27687	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2022年	富山	***	***	***	***	***	***	***	***	***	***	20752	***	***	***	***	***	***	***	***	***	***	***	***	79851	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2021年	富山	***	***	***	***	***	***	***	***	***	***	3341	***	***	***	***	***	***	***	***	***	***	***	***	34025	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2020年	富山	***	***	***	***	***	***	***	***	***	***	5814	***	***	***	***	***	***	***	***	***	***	***	***	51847	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2019年	富山	***	***	***	***	***	***	***	***	***	***	32707	***	***	***	***	***	***	***	***	***	***	***	***	176068	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2018年	富山	***	***	***	***	***	***	***	***	***	***	29675	***	***	***	***	***	***	***	***	***	***	***	***	169923	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2017年	富山	***	***	***	***	***	***	***	***	***	***	29081	***	***	***	***	***	***	***	***	***	***	***	***	177894	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2016年	富山	***	***	***	***	***	***	***	***	***	***	29102	***	***	***	***	***	***	***	***	***	***	***	***	185995	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2015年	富山	***	***	***	***	***	***	***	***	***	***	28555	***	***	***	***	***	***	***	***	***	***	***	***	263603	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2014年	富山	***	***	***	***	***	***	***	***	***	***	27595	***	***	***	***	***	***	***	***	***	***	***	***	397706	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2013年	富山	***	***	***	***	***	***	***	***	***	***	26517	***	***	***	***	***	***	***	***	***	***	***	***	388288	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2012年	富山	***	***	***	***	***	***	***	***	***	***	26660	***	***	***	***	***	***	***	***	***	***	***	***	377287	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2011年	富山	***	***	***	***	***	***	***	***	***	***	25383	***	***	***	***	***	***	***	***	***	***	***	***	357039	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2010年	富山	***	***	***	***	***	***	***	***	***	***	26637	***	***	***	***	***	***	***	***	***	***	***	***	382175	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2009年	富山	***	***	***	***	***	***	***	***	***	***	44773	***	***	***	***	***	***	***	***	***	***	***	***	368798	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2008年	富山	***	***	***	***	***	***	***	***	***	***	46447	***	***	***	***	***	***	***	***	***	***	***	***	450277	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2007年	富山	***	***	***	***	***	***	***	***	***	***	51207	***	***	***	***	***	***	***	***	***	***	***	***	479353	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	18006	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2006年	富山	***	***	***	***	***	***	***	***	***	***	50819	***	***	***	***	***	***	***	***	***	***	***	***	498178	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	26252	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	117	***	***	***	***	***	***	***	***	***	***	***
2022年	福岡	***	***	***	***	***	***	***	***	***	***	284305	***	***	***	14805	122764	***	***	***	***	***	38762	652839	3336584	***	***	***	***	***	***	***	***	***	40269	***	***	57121	***	37353	61230	88050	372179	274216	160875	***	***	***	***	***	***	16883	***	***	***	***	***	***	24628	***	54965	27361	***	***	***	***	42569	***	79527	***	***	***	12138	***	179271	9259	***	10957	17829	***	***	***	***	777045	***	***	995	39094	***	***	***	***	***	***	***
2021年	福岡	***	***	***	***	***	***	***	***	***	***	151594	***	***	***	7827	84019	***	***	***	***	***	20612	375384	2046582	***	***	***	***	***	***	***	***	***	28623	***	***	34754	***	24020	37179	58710	229760	176949	105593	***	***	***	***	***	***	10252	***	***	***	***	***	***	10238	***	32427	13487	***	***	***	***	27160	***	59859	***	***	***	9208	***	111922	6398	***	7376	15103	***	***	***	***	439790	***	***	498	12702	***	***	***	***	***	***	***
2020年	福岡	***	***	***	***	***	***	***	***	***	***	154736	***	***	***	7542	76545	***	***	***	***	***	25199	308606	2035785	***	***	***	***	***	***	***	***	***	28512	***	***	38718	***	23446	37093	54898	234570	178674	95842	***	***	***	***	***	***	10958	***	***	***	***	***	***	13310	***	34707	15903	***	***	***	***	27913	***	61671	***	***	***	8044	***	125640	6027	***	7159	12424	***	***	***	***	479561	***	***	691	16305	***	***	***	***	***	***	***
2019年	福岡	***	***	***	***	***	***	***	***	***	***	326975	***	***	***	16857	157410	***	***	***	***	***	52087	603367	4449168	***	***	***	***	***	***	***	***	***	58583	***	***	84137	***	40662	79224	106375	467454	297465	237701	***	***	***	***	***	***	19225	***	***	***	***	***	***	31617	***	71596	36472	***	***	***	***	54030	***	88652	***	***	***	15746	***	273067	9321	***	9081	18405	***	***	***	***	962129	***	***	14595	32030	***	***	***	***	***	***	***
2018年	福岡	***	***	***	***	***	***	***	***	***	***	297437	***	***	***	15381	155870	***	***	***	***	***	51155	579300	4362357	***	***	***	***	***	***	***	***	***	58240	***	***	81265	***	39346	79245	106572	417864	287311	242384	***	***	***	***	***	***	17860	***	***	***	***	***	***	23430	***	70870	33918	***	***	***	***	51731	***	84737	***	***	***	20512	***	259107	8847	***	11309	19218	***	***	***	***	934703	***	***	13889	23410	***	***	***	***	***	***	***
2017年	福岡	***	***	***	***	***	***	***	***	***	***	269411	***	***	***	12482	156586	***	***	***	***	***	50297	581875	4307138	***	***	***	***	***	***	***	***	***	61982	***	***	81155	***	38937	76981	106476	417037	279559	255854	***	***	***	***	***	***	18402	***	***	***	***	***	***	13013	***	69411	33422	***	***	***	***	47620	***	83545	***	***	***	22751	***	266702	8154	***	13056	18989	***	***	***	***	962097	***	***	***	11192	***	***	***	***	***	***	***
2016年	福岡	***	***	***	***	***	***	***	***	***	***	244929	***	***	***	12339	148551	***	***	***	***	***	46460	571234	4135559	***	***	***	***	***	***	***	***	***	61642	***	***	78633	***	35247	67158	105078	397372	283628	268214	***	***	***	***	***	***	17120	***	***	***	***	***	***	13718	***	62073	29371	***	***	***	***	45395	***	79905	***	***	***	23493	***	263338	14029	***	11839	18146	***	***	***	***	893380	***	***	***	9515	***	***	***	***	***	***	***
2015年	福岡	***	***	***	***	***	***	***	***	***	***	244299	***	***	***	11636	147892	***	***	***	***	***	54962	533451	4113119	***	***	***	***	***	***	***	***	***	65442	***	***	78222	***	30541	62462	108231	393052	303456	295974	***	***	***	***	***	***	15900	***	***	***	***	***	***	14328	***	58980	28043	***	***	***	***	47722	***	85524	***	***	***	22191	***	241241	12786	***	10766	19154	***	***	***	***	836385	***	***	***	12172	***	***	***	***	***	***	***
2014年	福岡	***	***	***	***	***	***	***	***	***	***	235124	***	***	***	12124	173186	***	***	***	***	***	44441	405448	4121994	***	***	***	***	***	***	***	***	***	65686	***	***	72485	***	21847	59146	109391	402305	340723	280185	***	***	***	***	***	***	19012	***	***	***	***	***	***	15255	***	63169	29609	***	***	***	***	49772	***	93027	***	***	***	22181	***	240119	12285	***	9902	20778	***	***	***	***	771447	***	***	***	15426	***	***	***	***	***	***	***
2013年	福岡	***	***	***	***	***	***	***	***	***	***	235325	***	***	***	11011	164604	***	***	***	***	***	***	503176	3918884	***	***	***	***	***	***	***	***	***	63103	***	***	67508	***	21142	53615	112282	387492	325330	325152	***	***	***	***	***	***	17787	***	***	***	***	***	***	15455	***	56116	27271	***	***	***	***	48240	***	90560	***	***	***	20909	***	230308	13538	***	7409	17317	***	***	***	***	750156	***	***	***	9571	***	***	***	***	***	***	***
2012年	福岡	***	***	***	***	***	***	***	***	***	***	204611	***	***	***	8277	116484	***	***	***	***	***	***	314203	3826426	***	***	***	***	***	***	***	***	***	56987	***	***	62006	***	18871	42045	108245	302312	314882	183358	***	***	***	***	***	***	17082	***	***	***	***	***	***	15171	***	54002	26899	***	***	***	***	45935	***	90349	***	***	***	18915	***	199382	19320	***	6722	14903	***	***	***	***	718092	***	***	***	7433	***	***	***	***	***	***	***
2011年	福岡	***	***	***	***	***	***	***	***	***	***	189495	***	***	***	***	57596	***	***	***	***	***	***	128445	3612929	***	***	***	***	***	***	***	***	***	31915	***	***	56347	***	16464	41744	86386	300781	331283	47566	***	***	***	***	***	***	16120	***	***	***	***	***	***	15097	***	53188	27248	***	***	***	***	45150	***	92462	***	***	***	18151	***	157509	32485	***	5023	10131	***	***	***	***	706798	***	***	***	3846	***	***	***	***	***	***	***
2010年	福岡	***	***	***	***	***	***	***	***	***	***	209392	***	***	***	***	111226	***	***	***	***	***	***	153025	3796830	***	***	***	***	***	***	***	***	***	30790	***	***	61213	***	10129	46979	79677	319117	406740	81080	3737	***	***	***	***	***	16124	***	***	***	***	***	***	15867	***	51136	29823	***	***	***	***	45699	***	93495	***	***	***	20121	***	181229	67582	***	***	***	***	***	***	***	713576	***	***	***	14325	***	***	***	***	***	***	***
2009年	福岡	***	***	***	***	***	***	***	***	***	***	224962	***	***	***	***	115587	***	***	***	***	***	***	125663	3787573	***	***	***	***	***	***	***	***	***	29934	***	***	63381	***	6107	44044	78069	344954	403864	114599	15	***	***	***	***	***	15877	***	***	***	***	***	***	15868	***	52403	28044	***	***	***	***	52251	***	98286	***	***	***	20254	***	188953	75688	***	***	***	***	***	***	***	655254	***	***	***	15931	***	***	***	***	***	***	***
2008年	福岡	***	***	***	***	***	***	***	***	***	***	243123	***	***	***	***	104796	***	***	***	***	***	***	93938	4144203	***	***	***	***	***	***	***	***	***	42833	***	***	71731	***	6665	***	58708	531393	421877	196932	***	***	***	***	***	***	17972	***	***	***	***	***	***	17730	***	65583	30628	***	***	***	***	53628	***	99942	***	***	***	24036	***	216622	95166	***	***	***	***	***	***	***	678454	***	***	***	***	***	***	***	***	***	***	***
2007年	福岡	***	***	***	***	***	***	***	***	***	***	273460	***	12638	***	8278	159898	***	***	***	***	***	***	98946	4067014	***	***	***	***	***	***	***	***	***	66975	***	17413	81346	***	14290	***	54704	594750	444324	200102	***	***	***	***	***	***	18253	***	***	***	***	***	***	19181	***	67622	32608	***	***	***	***	56463	***	106787	***	***	***	30109	***	228803	107505	***	***	***	***	***	***	***	682652	***	***	***	***	***	***	***	***	***	***	***
2006年	福岡	***	***	***	260	***	***	***	***	***	***	301801	***	17228	***	13139	159390	***	***	***	***	4692	***	99203	4080922	***	***	***	***	***	***	***	***	***	67806	***	24394	86071	***	17435	***	7872	675526	509106	207489	***	***	***	***	***	***	18249	***	***	***	***	***	***	15511	***	70958	31779	***	***	***	***	57099	***	108744	***	***	***	29470	***	241881	128076	***	***	***	***	***	***	***	663993	***	***	***	30106	***	***	***	***	***	***	***
2022年	福江	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	47339	***	***	19500	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2021年	福江	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	30063	***	***	13115	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2020年	福江	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	30076	***	***	13167	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2019年	福江	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	56868	***	***	24092	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2018年	福江	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	53395	***	***	20038	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2017年	福江	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	50442	***	***	18937	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2016年	福江	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	48254	***	***	15388	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2015年	福江	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	50164	***	***	15321	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2014年	福江	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	52123	***	***	16713	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2013年	福江	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	50993	***	***	15955	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2012年	福江	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	46965	***	***	17006	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2011年	福江	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	940	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	47461	***	***	14830	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2010年	福江	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	1043	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	49766	***	***	15242	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2009年	福江	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	950	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	56954	***	***	15970	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2008年	福江	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	1174	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	56831	***	***	17469	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2007年	福江	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	1367	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	59412	***	***	18790	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2006年	福江	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	1428	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	59991	***	***	20121	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2022年	福島	***	***	***	***	***	***	***	***	***	***	14260	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	56917	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2021年	福島	***	***	***	***	***	***	***	***	***	***	9115	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	31750	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2020年	福島	***	***	***	***	***	***	***	***	***	***	8457	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	35334	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2019年	福島	***	***	***	***	***	***	***	***	***	***	28320	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	86729	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2018年	福島	***	***	***	***	***	***	***	***	***	***	28081	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	82228	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2017年	福島	***	***	***	***	***	***	***	***	***	***	32192	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	81578	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2016年	福島	***	***	***	***	***	***	***	***	***	***	33686	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	78984	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2015年	福島	***	***	***	***	***	***	***	***	***	***	36354	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	80140	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2014年	福島	***	***	***	***	***	***	***	***	***	***	45592	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	72005	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
